"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 11:59:59 NPT 2024","Wed Aug 28 12:00:17 NPT 2024","17842","chromium","Swag Labs\logincredentials.spec.js","Login Credentials","","","Login By Valid Credentials",""
"passed","Wed Aug 28 11:59:58 NPT 2024","Wed Aug 28 12:00:08 NPT 2024","9856","chromium","Swag Labs\logincredentials.spec.js","Login Credentials","","","Login By Invalid Credentials",""
