"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 28 12:17:32 NPT 2024","Wed Aug 28 12:18:09 NPT 2024","37275","chromium","Swag Labs\CheckoutProcess\checkoutprocess.spec.js","Checkout Process","","","Performing Checkout",""
"passed","Wed Aug 28 12:17:31 NPT 2024","Wed Aug 28 12:18:09 NPT 2024","38039","chromium","Swag Labs\CheckoutProcess\checkoutprocess.spec.js","Checkout Process","","","Validating Fields",""
